source,feature,metabolite,labeling,sample_name,value,sample
MP4A_PDX_P2,FUMARATE_M2,FUMARATE,M2,NB8318_TumourA_3h,0.0304602999563445,PDX
MP4A_PDX_P2,MALATE_M2,MALATE,M2,NB8318_TumourA_3h,0.0164507212354306,PDX
MP4A_PDX_P2,ASPARTATE_M2,ASPARTATE,M2,NB8318_TumourA_3h,0.0049818665759368,PDX
MP4A_PDX_P2,GLUTAMATE_M2,GLUTAMATE,M2,NB8318_TumourA_3h,0.00787757675806076,PDX
MP4A_PDX_P2,CITRATE_M2,CITRATE,M2,NB8318_TumourA_3h,0.0461096521446658,PDX
MP4A_PDX_P2,3PG_M3,3PG,M3,NB8318_TumourA_3h,0.187508490399223,PDX
MP4A_PDX_P2,GLUCOSE_M6,GLUCOSE,M6,NB8318_TumourA_3h,0.0948406089977422,PDX
MP4A_PDX_P2,PYRUVATE_M3,PYRUVATE,M3,NB8318_TumourB_3h,0.0572306655347074,PDX
MP4A_PDX_P2,LACTATE_M3,LACTATE,M3,NB8318_TumourB_3h,0.0832810487955158,PDX
MP4A_PDX_P2,ALANINE_M3,ALANINE,M3,NB8318_TumourB_3h,0.0250204885728386,PDX
MP4A_PDX_P2,SUCCINATE_M2,SUCCINATE,M2,NB8318_TumourB_3h,0.00474113356313765,PDX
MP4A_PDX_P2,FUMARATE_M2,FUMARATE,M2,NB8318_TumourB_3h,0.0347216918909925,PDX
MP4A_PDX_P2,MALATE_M2,MALATE,M2,NB8318_TumourB_3h,0.0272438393063969,PDX
MP4A_PDX_P2,ASPARTATE_M2,ASPARTATE,M2,NB8318_TumourB_3h,0.00297222441086955,PDX
MP4A_PDX_P2,GLUTAMATE_M2,GLUTAMATE,M2,NB8318_TumourB_3h,0.0119247783469089,PDX
MP4A_PDX_P2,CITRATE_M2,CITRATE,M2,NB8318_TumourB_3h,0.0526438045167102,PDX
MP4A_PDX_P2,3PG_M3,3PG,M3,NB8318_TumourB_3h,0.156173849995818,PDX
MP4A_PDX_P2,GLUCOSE_M6,GLUCOSE,M6,NB8318_TumourB_3h,0.105635394986866,PDX
MP4A_PDX_P2,PYRUVATE_M3,PYRUVATE,M3,NB8318_TumourC_3h,0.0864926049045608,PDX
MP4A_PDX_P2,LACTATE_M3,LACTATE,M3,NB8318_TumourC_3h,0.12267825980371,PDX
MP4A_PDX_P2,ALANINE_M3,ALANINE,M3,NB8318_TumourC_3h,0.0513861454590253,PDX
MP4A_PDX_P2,SUCCINATE_M2,SUCCINATE,M2,NB8318_TumourC_3h,0.012200224831545,PDX
MP4A_PDX_P2,FUMARATE_M2,FUMARATE,M2,NB8318_TumourC_3h,0.0309708491907691,PDX
MP4A_PDX_P2,MALATE_M2,MALATE,M2,NB8318_TumourC_3h,0.0208298840394817,PDX
MP4A_PDX_P2,ASPARTATE_M2,ASPARTATE,M2,NB8318_TumourC_3h,0.00941743959772344,PDX
MP4A_PDX_P2,GLUTAMATE_M2,GLUTAMATE,M2,NB8318_TumourC_3h,0.0243796435790425,PDX
MP4A_PDX_P2,CITRATE_M2,CITRATE,M2,NB8318_TumourC_3h,0.110769097664779,PDX
MP4A_PDX_P2,3PG_M3,3PG,M3,NB8318_TumourC_3h,0.0992029555897262,PDX
MP4A_PDX_P2,GLUCOSE_M6,GLUCOSE,M6,NB8318_TumourC_3h,0.0869215610066813,PDX
